plz4,plzz,plznamk,plznaml,ktkz,gdenr,gdenamk,source,changed
8603,0,Schwerzenbach,Schwerzenbach,ZH,197,Schwerzenbach,GEN,20.05.2023 05:34:00
8610,0,Uster,Uster,ZH,198,Uster,GEN,20.05.2023 05:34:00
8616,0,Riedikon,Riedikon,ZH,198,Uster,GEN,20.05.2023 05:34:00
8606,0,Nänikon,Nänikon,ZH,198,Uster,GEN,20.05.2023 05:34:00
8614,2,Sulzbach,Sulzbach,ZH,198,Uster,GEN,20.05.2023 05:34:01
8615,2,Freudwil,Freudwil,ZH,198,Uster,GEN,20.05.2023 05:34:01
8615,0,Wermatswil,Wermatswil,ZH,198,Uster,GEN,20.05.2023 05:34:00
8605,0,Gutenswil,Gutenswil,ZH,198,Uster,GEN,20.05.2023 05:34:00
8617,0,Mönchaltorf,Mönchaltorf,ZH,198,Uster,GEN,20.05.2023 05:34:00
8604,0,Volketswil,Volketswil,ZH,199,Volketswil,GEN,20.05.2023 05:34:00
8605,0,Gutenswil,Gutenswil,ZH,199,Volketswil,GEN,20.05.2023 05:34:00
8307,0,Effretikon,Effretikon,ZH,199,Volketswil,GEN,20.05.2023 05:34:00
8306,0,Brüttisellen,Brüttisellen,ZH,200,Wangen-Brüttisellen,GEN,20.05.2023 05:34:00
